title,heading,content,tokens
FIFA World Cup,Qualification,"Since the second World Cup in 1934, qualifying tournaments have been held to thin the field for the final tournament. They are held within the six FIFA continental zones (Africa, Asia, North and Central America and Caribbean, South America, Oceania, and Europe), overseen by their respective confederations. For each tournament, FIFA decides the number of places awarded to each of the continental zones beforehand, generally based on the relative strength of the confederations' teams.
The qualification process can start as early as almost three years before the final tournament and last over a two-year period. The formats of the qualification tournaments differ between confederations. Usually, one or two places are awarded to winners of intercontinental play-offs. For example, the winner of the Oceanian zone and the fifth-placed team from the Asian zone entered a play-off for a spot in the 2010 World Cup. From the 1938 World Cup onwards, host nations receive automatic qualification to the final tournament. This right was also granted to the defending champions between 1938 and 2002, but was withdrawn from the 2006 FIFA World Cup onward, requiring the champions to qualify. Brazil, winners in 2002, were the first defending champions to play qualifying matches.",231
FIFA World Cup,Final tournament,"The final tournament format since 1998 has 32 national teams competing over the course of a month in the host nations. There are two stages: the group stage followed by the knockout stage.In the group stage, teams compete within eight groups of four teams each. Eight teams are seeded, including the hosts, with the other seeded teams selected using a formula based on the FIFA World Rankings or performances in recent World Cups, and drawn to separate groups. The other teams are assigned to different ""pots"", usually based on geographical criteria, and teams in each pot are drawn at random to the eight groups. Since 1998, constraints have been applied to the draw to ensure that no group contains more than two European teams or more than one team from any other confederation.Each group plays a round-robin tournament, in which each team is scheduled for three matches against other teams in the same group. This means that a total of six matches are played within a group. The last round of matches of each group is scheduled at the same time to preserve fairness among all four teams. The top two teams from each group advance to the knockout stage. Points are used to rank the teams within a group. Since 1994, three points have been awarded for a win, one for a draw and none for a loss (before, winners received two points).
Considering all possible outcomes (win, draw, loss) for all six matches in a group, there are 729 (= 36) combinations possible. However, 207 of these combinations lead to ties between the second and third places. In such case, the ranking among these teams is determined by:
Greatest combined goal difference in all group matches
Greatest combined number of goals scored in all group matches
If more than one team remain level after applying the above criteria, their ranking will be determined as follows:
Greatest number of points in head-to-head matches among those teams
Greatest goal difference in head-to-head matches among those teams
Greatest number of goals scored in head-to-head matches among those teams
Fair play points, defined by the number of yellow and red cards received in the group stage:
Yellow card: minus 1 point
Indirect red card (as a result of a second yellow card): minus 3 points
Direct red card: minus 4 points
Yellow card and direct red card: minus 5 points
If any of the teams above remain level after applying the above criteria, their ranking will be determined by the drawing of lotsThe knockout stage is a single-elimination tournament in which teams play each other in one-off matches, with extra time and penalty shootouts used to decide the winner if necessary. It begins with the round of 16 (or the second round) in which the winner of each group plays against the runner-up of another group. This is followed by the quarter-finals, the semi-finals, the third-place match (contested by the losing semi-finalists), and the final.On 10 January 2017, FIFA approved a new format, the 48-team World Cup (to accommodate more teams), which consists of 16 groups of three teams each, with two teams qualifying from each group, to form a round of 32 knockout stage, to be implemented by 2026.",609
FIFA World Cup,Selection process,"Early World Cups were given to countries at meetings of FIFA's congress. The locations were controversial because South America and Europe were by far the two centres of strength in football and travel between them required three weeks by boat. The decision to hold the first World Cup in Uruguay, for example, led to only four European nations competing. The next two World Cups were both held in Europe. The decision to hold the second of these in France was disputed, as the South American countries understood that the location would alternate between the two continents. Both Argentina and Uruguay thus boycotted the 1938 FIFA World Cup.Since the 1958 FIFA World Cup, to avoid future boycotts or controversy, FIFA began a pattern of alternating the hosts between the Americas and Europe, which continued until the 1998 FIFA World Cup. The 2002 FIFA World Cup, hosted jointly by South Korea and Japan, was the first one held in Asia, and the first tournament with multiple hosts. South Africa became the first African nation to host the World Cup in 2010. The 2014 FIFA World Cup was hosted by Brazil, the first held in South America since Argentina 1978, and was the first occasion where consecutive World Cups were held outside Europe.

The host country is now chosen in a vote by FIFA's Council. This is done under an exhaustive ballot system. The national football association of a country desiring to host the event receives a ""Hosting Agreement"" from FIFA, which explains the steps and requirements that are expected from a strong bid. The bidding association also receives a form, the submission of which represents the official confirmation of the candidacy. After this, a FIFA designated group of inspectors visit the country to identify that the country meets the requirements needed to host the event and a report on the country is produced. The decision on who will host the World Cup is usually made six or seven years in advance of the tournament. There have been occasions where the hosts of multiple future tournaments were announced at the same time, as was the case for the 2018 and 2022 World Cups, which were awarded to Russia and Qatar, with Qatar becoming the first Middle Eastern country to host the tournament.For the 2010 and 2014 World Cups, the final tournament is rotated between confederations, allowing only countries from the chosen confederation (Africa in 2010, South America in 2014) to bid to host the tournament. The rotation policy was introduced after the controversy surrounding Germany's victory over South Africa in the vote to host the 2006 tournament. However, the policy of continental rotation did not continue beyond 2014, so any country, except those belonging to confederations that hosted the two preceding tournaments, can apply as hosts for World Cups starting from 2018. This is partly to avoid a similar scenario to the bidding process for the 2014 tournament, where Brazil was the only official bidder.The 2026 FIFA World Cup was chosen to be held in the United States, Canada and Mexico, marking the first time a World Cup has been shared by three host nations. The 2026 tournament will be the biggest World Cup ever held, with 48 teams playing 80 matches. Sixty matches will take place in the US, including all matches from the quarter-finals onward, while Canada and Mexico will host 10 games each.",624
FIFA World Cup,Performances,"Six of the eight champions have won one of their titles while playing in their own homeland, the exceptions being Brazil, who finished as runners-up after losing the deciding match on home soil in 1950 and lost their semi-final against Germany in 2014, and Spain, which reached the second round on home soil in 1982. England (1966) won its only title while playing as a host nation. Uruguay (1930), Italy (1934), Argentina (1978), and France (1998) won their first titles as host nations but have gone on to win again, while Germany (1974) won their second title on home soil.Other nations have also been successful when hosting the tournament. Switzerland (quarter-finals 1954), Sweden (runners-up in 1958), Chile (third place in 1962), South Korea (fourth place in 2002), Russia (quarter-finals 2018), and Mexico (quarter-finals in 1970 and 1986) all have their best results when serving as hosts. So far, South Africa (2010) and Qatar (2022) failed to advance beyond the first round.",211
FIFA World Cup,Attendance,"Source: FIFA The best-attended single match has been the final in 11 of the 21 World Cups as of 2018. Another match or matches drew more attendance than the final in 1930, 1938, 1958, 1962, 1970–1982, 1990, and 2006.",51
FIFA World Cup,Broadcasting and promotion,"The World Cup was first televised in 1954 and as of 2006 is the most widely viewed and followed sporting event in the world. The cumulative viewership of all matches of the 2006 World Cup was estimated to be 26.29 billion. 715.1 million individuals watched the final match of the tournament, almost a ninth of the entire population of the planet. The 2006 World Cup draw, which decided the distribution of teams into groups, was watched by 300 million viewers. The World Cup attracts major sponsors such as Coca-Cola, McDonald's and Adidas. For these companies and many more, being a sponsor strongly impacts their global brands. Host countries typically experience a multimillion-dollar revenue increase from the month-long event.
The governing body of the sport, FIFA, generated $4.8 billion in revenue from the 2014 tournament, and $6.1 billion from the 2018 tournament.

Each FIFA World Cup since 1966 has its own mascot or logo. World Cup Willie, the mascot for the 1966 competition, was the first World Cup mascot. World Cups feature official match balls specially designed for each tournament. After Slazenger produced the ball for the 1966 World Cup Adidas became the official supplier to FIFA. Each World Cup also has an official song, which have been performed by artists ranging from Shakira to Will Smith. Other songs, such as “Nessun dorma”, performed by The Three Tenors at four World Cup concerts, have also become identified with the tournament.
Forming a partnership with FIFA in 1970, Panini published its first sticker album for the 1970 World Cup. Since then, collecting and trading stickers and cards has become part of the World Cup experience, especially for the younger generation. FIFA has licensed World Cup video games since 1986, sponsored by Electronic Arts.",335
FIFA World Cup,Results,"Notes
In all, 80 nations have played in at least one World Cup. Of these, eight national teams have won the World Cup, and they have added stars to their badges, with each star representing a World Cup victory. (Uruguay, however, choose to display four stars on their badge, representing their two gold medals at the 1924 and 1928 Summer Olympics, which are recognised by FIFA as World Championships, and their two World Cup titles in 1930 and 1950).
With five titles, Brazil are the most successful World Cup team and also the only nation to have played in every World Cup (22) to date. Brazil were also the first team to win the World Cup for the third (1970), fourth (1994) and fifth (2002) time. Italy (1934 and 1938) and Brazil (1958 and 1962) are the only nations to have won consecutive titles. West Germany (1982–1990) and Brazil (1994–2002) are the only nations to appear in three consecutive World Cup finals. Germany has made the most top-four finishes (13), medals (12), as well as the most finals (8).",227
FIFA World Cup,Best performances by confederations,"To date, the final of the World Cup has only been contested by teams from the UEFA (Europe) and CONMEBOL (South America) confederations. European nations have won twelve titles, while South American nations have won ten. Only three teams from outside these two continents have ever reached the semi-finals of the competition: United States (North, Central America and Caribbean) in 1930; South Korea (Asia) in 2002; and Morocco (Africa) in 2022. Only one Oceanian qualifier, Australia in 2006, has advanced to the second round, a feat they later reaccomplished in 2022.Brazil, Argentina, Spain and Germany are the only teams to win a World Cup hosted outside their continental confederation; Brazil came out victorious in Europe (1958), North America (1970 and 1994) and Asia (2002). Argentina won a World Cup in North America in 1986 and in Asia in 2022. Spain won in Africa in 2010. In 2014, Germany became the first European team to win in the Americas. Only on five occasions have consecutive World Cups been won by teams from the same continent; the longest streak of tournaments won by a single confederation is four, with the 2006, 2010, 2014, and 2018 tournaments all won by UEFA teams (Italy, Spain, Germany, and France, respectively).",259
FIFA World Cup,Records and statistics,"Five players share the record for playing in the most World Cups; Mexico's Antonio Carbajal (1950–1966) and Rafael Márquez (2002–2018); Germany's Lothar Matthäus (1982–1998); Argentina's Lionel Messi (2006–2022); and Portugal's Cristiano Ronaldo (2006–2022) all played in five tournaments with Ronaldo also being the first and only player to score in five tournaments. Messi has played the most World Cup matches overall, with 26 appearances. Brazil's Djalma Santos (1954–1962), West Germany's Franz Beckenbauer (1966–1974), and Germany's Philipp Lahm (2006–2014) are the only players to be named to three World Cup All-Star Teams.Miroslav Klose of Germany (2002–2014) is the all-time top scorer at the World Cup with 16 goals. He broke Ronaldo of Brazil's record of 15 goals (1998–2006) during the 2014 semi-final match against Brazil. West Germany's Gerd Müller (1970–1974) is third, with 14 goals. The fourth-placed goalscorer, France's Just Fontaine, holds the record for the most goals scored in a single World Cup; all his 13 goals were scored in the 1958 tournament.

In November 2007, FIFA announced that all members of World Cup-winning squads between 1930 and 1974 were to be retroactively awarded winners' medals. This made Brazil's Pelé the only player to have won three World Cup winners' medals (1958, 1962, and 1970, although he did not play in the 1962 final due to injury), with 20 other players who have won two winners' medals. Seven players have collected all three types of World Cup medals (winners', runner- ups', and third-place); five players were from West Germany's squad of 1966–1974: Franz Beckenbauer, Jürgen Grabowski, Horst-Dieter Höttges, Sepp Maier, and Wolfgang Overath (1966–1974), Italy's Franco Baresi (1982, 1990, 1994) and the most recent has been Miroslav Klose of Germany (2002–2014) with four consecutive medals.Brazil's Mário Zagallo, West Germany's Franz Beckenbauer and France's Didier Deschamps are the only people to date to win the World Cup as both player and head coach. Zagallo won in 1958 and 1962 as a player and in 1970 as head coach. Beckenbauer won in 1974 as captain and in 1990 as head coach, and Deschamps repeated the feat in 2018, after having won in 1998 as captain. Italy's Vittorio Pozzo is the only head coach to ever win two World Cups (1934 and 1938). All World Cup-winning head coaches were natives of the country they coached to victory.Among the national teams, Germany and Brazil have played the most World Cup matches (109), Germany appeared in the most finals (8), semi-finals (13), and quarter-finals (16), while Brazil has appeared in the most World Cups (21), has the most wins (73) and has scored the most goals (229). The two teams have played each other twice in the World Cup, in the 2002 final and in the 2014 semi-final.",578
FIFA World Cup,Awards,"At the end of each World Cup, awards are presented to the players and teams for accomplishments other than their final team positions in the tournament. 

There are five post-tournament awards from the FIFA Technical Study Group:the Golden Ball (named for its sponsor ""Adidas Golden Ball"") for best player, first awarded in 1982;
the Golden Boot (named for its sponsor ""Adidas Golden Boot"", formerly known as the ""adidas Golden Shoe"" from 1982 to 2006) for top goalscorer, first awarded in 1982;
the Golden Glove (named for its sponsor ""Adidas Golden Glove"", formerly known as the ""Lev Yashin Award"" from 1994 to 2006) for best goalkeeper, first awarded in 1994;
the FIFA Young Player Award (formerly known as the ""Best Young Player Award"" from 2006 to 2010) for best player under 21 years of age at the start of the calendar year, first awarded in 2006;
the FIFA Fair Play Trophy for the team that advanced to the second round with the best record of fair play, first awarded in 1970.
There is currently one award voted on by fans during the tournament.:
the Player of the Match  (currently commercially termed ""Budweiser Player of the Match"", formerly known as the ""Man of the Match"" from 2002 to 2018) for outstanding performance during each match of the tournament, first awarded in 2002.
There are two awards voted on by fans after the conclusion of the tournament:
the Goal of the Tournament, (currently commercially termed ""Hyundai Goal of the Tournament"") for the fans' best goal scored during the tournament, first awarded in 2006;
the Most Entertaining Team during the World Cup final tournament, as determined by a poll of the general public.
One other award was given between 1994 and 2006:an All-Star Team comprising the best players of the tournament chosen by the FIFA Technical Study Group. From 2010 onwards, all Dream Teams or Statistical Teams are unofficial, as reported by FIFA itself.",387
2018 FIFA World Cup squads,Summary,"The 2018 FIFA World Cup was an international football tournament held in Russia from 14 June to 15 July 2018. The 32 national teams involved in the tournament were required to register a squad of 23 players, including three goalkeepers. Only players in these squads were eligible to take part in the tournament.A provisional list of 35 players per national team was submitted to FIFA by 14 May 2018, one month prior to the opening match of the tournament. From the preliminary squad, the final list of 23 players per national team was submitted to FIFA by 4 June, 10 days prior to the opening match of the tournament. FIFA published the final lists with squad numbers on their website the same day. Teams were permitted to make late replacements in the event of serious injury, at any time up to 24 hours before their first match, where the replacement players did not need to be in the preliminary squad.For players named in the 35-player preliminary squad, there was a mandatory rest period between 21 and 27 May 2018, except for those involved in the 2018 UEFA Champions League Final played on 26 May. Initially the preliminary squads were to have 30 players but, in February 2018, it was announced that the number of players to be named in the provisional squads was increased to 35.The position listed for each player is per the official squad list published by FIFA. The age listed for each player is on 14 June 2018, the first day of the tournament. The numbers of caps and goals listed for each player do not include any matches played after the start of the tournament. The club listed is the club for which the player last played a competitive match prior to the tournament. The nationality for each club reflects the national association (not the league) to which the club is affiliated. A flag is included for coaches who are of a different nationality than their own national team.",362
2018 FIFA World Cup squads,Russia,"Coach: Stanislav Cherchesov
Russia's 28-man preliminary squad was announced on 11 May 2018. Ruslan Kambolov withdrew injured and was replaced by Sergei Ignashevich on 14 May. The final squad was announced on 3 June.",42
2018 FIFA World Cup squads,Australia,"Coach:  Bert van Marwijk
Australia's 32-man preliminary squad was announced on 6 May 2018. The squad was reduced to 26 players on 14 May, then extended to 27 players on 28 May. The final squad was announced on 3 June.",49
2018 FIFA World Cup squads,Peru,"Coach:  Ricardo Gareca
Peru's 24-man preliminary squad was announced on 16 May 2018. The final squad was initially announced on 30 May, but was extended to 24 players on 31 May after the suspension of Paolo Guerrero was lifted. The final squad was announced on 4 June.",56
2018 FIFA World Cup squads,Argentina,"Coach: Jorge Sampaoli
Argentina's 35-man preliminary squad was announced on 14 May 2018. The final squad was announced on 21 May. Sergio Romero withdrew injured and was replaced by Nahuel Guzmán on 23 May. Manuel Lanzini withdrew injured and was replaced by Enzo Pérez on 9 June.",56
2018 FIFA World Cup squads,Nigeria,"Coach:  Gernot Rohr
Nigeria's 30-man preliminary squad was announced on 14 May 2018. The squad was reduced to 29 players on 27 May as Moses Simon withdrew injured, then to 25 players on 30 May. The final squad was announced on 3 June.",52
2018 FIFA World Cup squads,Mexico,"Coach:  Juan Carlos Osorio
Mexico's 28-man preliminary squad was announced on 14 May 2018. The squad was reduced to 27 players on 23 May as Néstor Araujo withdrew injured, then to 24 players on 2 June. The final squad was announced on 4 June. Diego Reyes withdrew injured and was replaced by Érick Gutiérrez on 13 June.",67
2018 FIFA World Cup squads,South Korea,"Coach: Shin Tae-yong
South Korea's 28-man preliminary squad was announced on 14 May 2018. The squad was reduced to 26 players on 22 May as Kwon Chang-hoon and Lee Keun-ho withdrew injured. The final squad was announced on 2 June.",48
2018 FIFA World Cup squads,Panama,"Coach:  Hernán Darío Gómez
Panama's 35-man preliminary squad was announced on 14 May 2018. The final squad was announced on 30 May. Alberto Quintero withdrew injured and was replaced by Ricardo Ávila on 6 June.",43
2018 FIFA World Cup squads,Colombia,"Coach:  José Pékerman
Colombia's 35-man preliminary squad was announced on 14 May 2018. The final squad was announced on 4 June. Frank Fabra withdrew injured and was replaced by Farid Díaz on 9 June.",42
